prov_insc;cant_insc;parr_insc;mcap_bie;dur_mat;cau_div;nac_1;sexo_1;edad_1;hijos_1;p_etnica1;niv_inst1;nac_2;sexo_2;edad_2;hijos_2;p_etnica2;niv_inst2
Chimborazo;Riobamba;Lizarzaburu; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Indigena; Secundaria
Imbabura;Otavalo;Jordan; No;4;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;29;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Pichincha;Quito;Quitumbe; No;1;Los tratos crueles o violencia contra la mujer o miembros del nucleo familiar; Ecuatoriano;Hombre;34;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;22;0;Mestizo; Secundaria
Cotopaxi;Latacunga;Ignacio Flores (parque Flores); No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;26;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;21;0;Mestizo; Secundaria
Pichincha;Quito;Itchimbia; No;38;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;62;7;Blanco; Superior no Universitario; Ecuatoriano;Mujer;62;7;Otro; Superior no Universitario
Pichincha;Quito;Itchimbia; Sin informacion;32;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;53;6;Mestizo; Educacion Basica; Ecuatoriano;Mujer;49;6;Sin informacion; Primaria
El Oro;Pina;Pinas, cabecera cantonal; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;48;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;40;6;Mestizo; Educacion Basica
Loja;Celica;Celica, cabecera cantonal; No;17;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;66;0;Mestizo; Primaria; Ecuatoriano;Mujer;35;6;Mestizo; Primaria
Imbabura;Otavalo;Jordan; No;26;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;48;0;Indigena; Secundaria; Ecuatoriano;Mujer;45;6;Indigena; Secundaria
Pichincha;Quito;Calderon; Sin informacion;10;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;33;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;29;6;Mestizo; Educacion Basica
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Coloradoss; No;55;Por mutuo consentimiento via notarial; Extranjero;Hombre;73;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;73;9;Mestizo; Secundaria
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Coloradoss; No;44;Por mutuo consentimiento via notarial; Extranjero;Hombre;69;0;Mulato; Primaria; Ecuatoriano;Mujer;64;6;Mestizo; Primaria
Canar;Azogues;Azogues; No;11;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;31;0;Mestizo; Primaria; Ecuatoriano;Mujer;35;6;Mestizo; Primaria
Pichincha;Quito;Itchimbia; Sin informacion;30;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;65;0;Otro; Superior no Universitario; Ecuatoriano;Mujer;64;7;Mulato; Educacion Basica
Guayas;Duran;Eloy Alfaro (Duran); No;12;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;35;6;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;38;0;Mestizo; Educacion media o Bachillerato
Pichincha;Quito;Itchimbia; Sin informacion;1;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;22;0;Mestizo; Secundaria; Ecuatoriano;Mujer;21;1;Mestizo; Educacion media o Bachillerato
Pichincha;Quito;Itchimbia; Sin informacion;2;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;22;0;Indigena; Secundaria; Ecuatoriano;Mujer;24;0;Indigena; Primaria
Carchi;Tulcan;Gonzalez Suarez; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;21;0;Mestizo; Secundaria; Ecuatoriano;Mujer;24;0;Mestizo; Secundaria
Pichincha;Quito;Itchimbia; Sin informacion;0;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;21;0;Mestizo; Secundaria; Ecuatoriano;Mujer;19;0;Mestizo; Educacion media o Bachillerato
Canar;Azogues;Azogues; No;10;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;83;0;Mestizo; Primaria; Ecuatoriano;Mujer;43;0;Mestizo; Primaria
Guayas;Guayaquil;Tarqui; Sin informacion;3;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;74;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;38;0;Mestizo; Educacion media o Bachillerato
Manabi;Portoviejo;18 de Octubre; No;17;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;88;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;38;0;Mestizo; Educacion media o Bachillerato
Manabi;Portoviejo;18 de Octubre; No;13;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;69;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;34;0;Mestizo; Educacion media o Bachillerato
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Coloradoss; Sin informacion;0;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;70;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;33;0;Mestizo; Superior Universitario
Manabi;Manta;Tarqui; No;0;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;82;0;Mestizo;Ninguno; Ecuatoriano;Mujer;45;0;Mestizo; Educacion media o Bachillerato
Azuay;Cuenca;San Blas; Si;24;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;82;0;Mestizo; Primaria; Ecuatoriano;Mujer;46;1;Mestizo; Primaria
Imbabura;Ibarra;San Francisco; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;87;0;Mestizo; Primaria; Ecuatoriano;Mujer;45;0;Mestizo; Educacion media o Bachillerato
Tungurahua;Ambato;Huachi Chico; Sin informacion;0;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;88;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;51;0;Mestizo; Secundaria
Sucumbíos;Shushufindi;Shushufindi, cabecera cantonal; No;21;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;81;0;Mestizo; Primaria; Ecuatoriano;Mujer;42;0;Mestizo; Secundaria
Los Rios;Quevedo;San Camilo; No;3;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;63;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;27;0;Mestizo; Educacion media o Bachillerato
Canar;Azogues;Azogues; No;0;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;57;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;19;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;17;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;40;0;Mestizo; Secundaria; Ecuatoriano;Mujer;44;4;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;38;0;Mestizo; Primaria; Ecuatoriano;Mujer;35;1;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;26;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;46;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;44;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;40;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;62;0;Indigena; Educacion media o Bachillerato; Ecuatoriano;Mujer;59;0;Indigena; Primaria
Chimborazo;Riobamba;Lizarzaburu; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;26;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;22;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;34;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;33;4;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;12;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;31;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;31;2;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;31;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;27;1;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;25;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;47;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;42;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;2;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;32;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;31;2;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;1;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;30;0;Mestizo; Superior no Universitario; Ecuatoriano;Mujer;29;1;Mestizo; Superior no Universitario
Chimborazo;Riobamba;Lizarzaburu; No;4;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;32;0;Indigena; Secundaria; Ecuatoriano;Mujer;23;1;Indigena; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;27;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;48;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;48;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;42;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;65;0;Mestizo; Superior no Universitario; Ecuatoriano;Mujer;63;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;33;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;51;0;Indigena; Educacion Basica; Ecuatoriano;Mujer;51;0;Indigena; Primaria
Chimborazo;Riobamba;Lizarzaburu; Sin informacion;11;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;33;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;40;2;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;22;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;83;0;Mestizo; Secundaria; Ecuatoriano;Mujer;65;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;42;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;34;2;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;17;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;43;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;39;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;13;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;35;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;36;0;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;22;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;45;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;41;0;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;39;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;63;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;56;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;32;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;49;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;61;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;31;2;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;27;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;44;0;Indigena; Educacion media o Bachillerato; Ecuatoriano;Mujer;31;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;2;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;33;0;Mestizo; Primaria; Ecuatoriano;Mujer;31;1;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;7;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;37;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;31;1;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;12;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;54;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;42;2;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;33;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;53;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;56;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;26;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;45;0;Indigena; Educacion Basica; Ecuatoriano;Mujer;62;0;Indigena;Ninguno
Chimborazo;Riobamba;Lizarzaburu; No;28;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;57;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;51;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;24;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;44;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;40;2;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;30;2;Mestizo; Secundaria; Ecuatoriano;Mujer;28;0;Mestizo; Primaria
Chimborazo;Riobamba;Lizarzaburu; No;6;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;36;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;32;1;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;29;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;26;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;40;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;41;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; Sin informacion;47;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;66;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;65;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;21;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;42;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;41;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;9;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;32;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;35;0;Mestizo; Superior no Universitario
Chimborazo;Riobamba;Lizarzaburu; No;10;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;33;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;32;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;11;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;30;0;Indigena; Primaria; Ecuatoriano;Mujer;32;2;Indigena; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;46;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;46;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;32;2;Mestizo; Educacion Basica; Ecuatoriano;Mujer;31;1;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;17;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;41;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;37;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;28;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;49;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;57;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;8;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;25;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;22;1;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;28;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;63;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;50;0;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; Sin informacion;17;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;44;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;44;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; Sin informacion;24;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;44;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;40;0;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;9;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;28;1;Mestizo; Secundaria; Ecuatoriano;Mujer;31;0;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;18;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;43;0;Indigena; Primaria; Ecuatoriano;Mujer;48;1;Indigena; Primaria
Chimborazo;Riobamba;Lizarzaburu; No;5;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;29;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;28;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;6;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;36;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;37;0;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;19;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;39;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;41;2;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;8;El estado habitual de falta de armonia de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;35;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;31;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;6;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;25;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;3;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;45;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;38;2;Mestizo; Educacion media o Bachillerato
Chimborazo;Riobamba;Lizarzaburu; No;18;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;35;0;Indigena; Secundaria; Ecuatoriano;Mujer;36;2;Indigena; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;21;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;39;1;Mestizo; Educacion Basica; Ecuatoriano;Mujer;36;1;Indigena; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;34;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;58;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;54;0;Mestizo; Superior no Universitario
Chimborazo;Riobamba;Lizarzaburu; No;15;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;42;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;40;1;Mestizo; Superior Universitario
Chimborazo;Riobamba;Lizarzaburu; No;9;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;33;0;Mestizo; Educacion Basica; Ecuatoriano;Mujer;29;1;Mestizo; Educacion Basica
Chimborazo;Riobamba;Lizarzaburu; No;8;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;34;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;27;1;Mestizo; Superior Universitario
Chimborazo;Alausi;Alausi, cabecera cantonal; No;14;Las amenazas graves de un conyuge contra la vida del otro; Ecuatoriano;Hombre;32;0;Indigena; Educacion Basica; Ecuatoriano;Mujer;31;2;Indigena; Educacion Basica
Napo;Tena;Tena, cabecera cantonal y capital provincial; No;20;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;42;0;Indigena; Educacion media o Bachillerato; Ecuatoriano;Mujer;39;2;Indigena; Educacion media o Bachillerato
Chimborazo;Alausi;Alausi, cabecera cantonal; No;24;Por mutuo consentimiento via notarial; Ecuatoriano;Hombre;42;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;48;1;Mestizo; Educacion media o Bachillerato
Chimborazo;Alausi;Alausi, cabecera cantonal; No;13;Por mutuo consentimiento via judicial; Ecuatoriano;Hombre;33;0;Mestizo; Educacion media o Bachillerato; Ecuatoriano;Mujer;33;1;Mestizo; Educacion media o Bachillerato
Napo;Tena;Tena, cabecera cantonal y capital provincial; No;8;El abandono injustificado de cualquiera de los conyuges por mas de seis meses ininterrumpidos; Ecuatoriano;Hombre;49;0;Indigena; Educacion media o Bachillerato; Ecuatoriano;Mujer;53;0;Indigena; Educacion media o Bachillerato
