FECHA;CODIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
7/6/2023;3.1;PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA;Av. Chile;$10 a $15 dolares
8/6/2023;3.1;LECHUGA, TOMATES, CHOCLO, BROCOLI, CEBOLLA;Av. Chile;$10 a $15 dolares
9/6/2023;3.1;LECHUGA, CHOCLO, CEBOLLA;Av. Chile;$5 a $10 dolares
10/6/2023;3.1;TOMATES, CHOCLO, ZANAHORIA;Av. Chile;$5 a $10 dolares
11/6/2023;3.1;LECHUGA, ZANAHORIA, BROCOLI, CEBOLLA BLANCA, AJO;Av. Chile;$5 a $10 dolares
5/6/2023;4.3;LECHUGA, PAPAS, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Chile;$15 a $20 dolares
6/6/2023;4.3;PAPAS, TOMATES, CHOCLO, CEBOLLA;Av. Chile;$10 a $15 dolares
7/6/2023;4.3;PAPAS, TOMATES, CHOCLO, CEBOLLA BLANCA;Av. Chile;$10 a $15 dolares
8/6/2023;4.3;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA;Av. Chile;$10 a $15 dolares
9/6/2023;4.3;PAPAS;Av. Chile;$5 a $10 dolares
10/6/2023;4.3;PAPAS, TOMATES;Av. Chile;$5 a $10 dolares
11/6/2023;4.3;TOMATES, CEBOLLA;Av. Chile;$5 a $10 dolares
5/6/2023;5.1;LECHUGA, PAPAS, ZANAHORIA, BROCOLI;Av. Reales Tamarindo;$10 a $15 dolares
6/6/2023;5.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, AJO;Av. Reales Tamarindo;$20 a $25 dolares
7/6/2023;5.1;PAPAS, TOMATES, CHOCLO, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Reales Tamarindo;$10 a $15 dolares
8/6/2023;5.1;LECHUGA, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Av. Reales Tamarindo;$20 a $25 dolares
9/6/2023;5.1;LECHUGA, PAPAS, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Av. Reales Tamarindo;$10 a $15 dolares
10/6/2023;5.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, AJO;Av. Reales Tamarindo;$10 a $15 dolares
11/6/2023;5.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Reales Tamarindo;$15 a $20 dolares
5/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Sucre;$10 a $15 dolares
6/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Sucre;$10 a $15 dolares
7/6/2023;6.2;LECHUGA, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Sucre;$10 a $15 dolares
8/6/2023;6.2;TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA BLANCA, AJO;Sucre;$5 a $10 dolares
9/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA;Sucre;$5 a $10 dolares
10/6/2023;6.2;PAPAS, TOMATES, CHOCLO;Sucre;$5 a $10 dolares
11/6/2023;6.2;LECHUGA, PAPAS, BROCOLI, CEBOLLA;Sucre;$5 a $10 dolares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$10 a $15 dolares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$15 a $20 dolares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$5 a $10 dolares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$10 a $15 dolares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$20 a $25 dolares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$5 a $10 dolares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$15 a $20 dolares
5/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA;Av. Reales Tamarindo;$10 a $15 dolares
6/6/2023;1.1;PAPAS, TOMATES, CHOCLO;Av. Reales Tamarindo;$5 a $10 dolares
7/6/2023;1.1;PAPAS, TOMATES;Av. Reales Tamarindo;$5 a $10 dolares
8/6/2023;1.1;CHOCLO, ZANAHORIA;Av. Reales Tamarindo;$5 a $10 dolares
9/6/2023;1.1;LECHUGA, PAPAS, CHOCLO;Av. Reales Tamarindo;$5 a $10 dolares
10/6/2023;1.1;LECHUGA, TOMATES, BROCOLI;Av. Reales Tamarindo;$10 a $15 dolares
11/6/2023;1.1;TOMATES;Av. Reales Tamarindo;$5 a $10 dolares
5/6/2023;2.2;PAPAS, TOMATES, CHOCLO, CEBOLLA, AJO;Av. Olmedo;$25 a $30 dolares
6/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$30 a $35 dolares
7/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Olmedo;$25 a $30 dolares
8/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, CEBOLLA, AJO;Av. Olmedo;$15 a $20 dolares
9/6/2023;2.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Av. Olmedo;$35 a $40 dolares
10/6/2023;2.2;TOMATES, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Olmedo;$30 a $35 dolares
11/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Olmedo;Mas de $40 dolares
5/6/2023;3.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA;Cordova;$5 a $10 dolares
6/6/2023;3.1;LECHUGA, TOMATES, CHOCLO, BROCOLI, CEBOLLA;Cordova;$15 a $20 dolares
7/6/2023;3.1;TOMATES, CHOCLO, ZANAHORIA, CEBOLLA BLANCA, AJO;Cordova;$5 a $10 dolares
8/6/2023;3.1;TOMATES, CHOCLO, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Cordova;$10 a $15 dolares
9/6/2023;3.1;LECHUGA, PAPAS, CHOCLO, ZANAHORIA;Cordova;$5 a $10 dolares
10/6/2023;3.1;ZANAHORIA, CEBOLLA BLANCA, AJO;Cordova;$5 a $10 dolares
11/6/2023;3.1;LECHUGA, CHOCLO, ZANAHORIA, BROCOLI;Cordova;$5 a $10 dolares
5/6/2023;4.3;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, AJO;Av. Paulo Emilio Macias;$20 a $25 dolares
6/6/2023;4.3;TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Av. Paulo Emilio Macias;$5 a $10 dolares
7/6/2023;4.3;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Paulo Emilio Macias;$20 a $25 dolares
8/6/2023;4.3;LECHUGA, BROCOLI, CEBOLLA, AJO;Av. Paulo Emilio Macias;$10 a $15 dolares
9/6/2023;4.3;TOMATES, CEBOLLA, CEBOLLA BLANCA;Av. Paulo Emilio Macias;$5 a $10 dolares
10/6/2023;4.3;TOMATES, CHOCLO, ZANAHORIA;Av. Paulo Emilio Macias;$10 a $15 dolares
11/6/2023;4.3;CHOCLO;Av. Paulo Emilio Macias;$5 a $10 dolares
5/6/2023;5.1;TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Joaquin Ramirez;$10 a $15 dolares
6/6/2023;5.1;LECHUGA, PAPAS, CHOCLO;Joaquin Ramirez;$5 a $10 dolares
7/6/2023;5.1;ZANAHORIA, BROCOLI, CEBOLLA;Joaquin Ramirez;$5 a $10 dolares
8/6/2023;5.1;ZANAHORIA, BROCOLI, CEBOLLA;Joaquin Ramirez;$5 a $10 dolares
9/6/2023;5.1;TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Joaquin Ramirez;$15 a $20 dolares
10/6/2023;5.1;PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Joaquin Ramirez;$15 a $20 dolares
11/6/2023;5.1;TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Joaquin Ramirez;$10 a $15 dolares
5/6/2023;6.2;PAPAS, TOMATES, BROCOLI;Av. Chile ;$5 a $10 dolares
6/6/2023;6.2;LECHUGA, PAPAS, BROCOLI, CEBOLLA;Av. Chile ;$5 a $10 dolares
7/6/2023;6.2;ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Chile ;$5 a $10 dolares
8/6/2023;6.2;LECHUGA, PAPAS, CHOCLO, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Chile ;$5 a $10 dolares
9/6/2023;6.2;PAPAS, ZANAHORIA, BROCOLI, CEBOLLA BLANCA, AJO;Av. Chile ;$5 a $10 dolares
10/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Chile ;$10 a $15 dolares
11/6/2023;6.2;TOMATES, CHOCLO, BROCOLI;Av. Chile ;$5 a $10 dolares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dolares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$5 a $10 dolares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dolares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dolares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dolares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$5 a $10 dolares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$10 a $15 dolares
5/6/2023;1.1;TOMATES, ZANAHORIA, BROCOLI;Av. Los Amigos;$5 a $10 dolares
6/6/2023;1.1;PAPAS, ZANAHORIA, BROCOLI, CEBOLLA;Av. Los Amigos;$15 a $20 dolares
7/6/2023;1.1;CHOCLO, CEBOLLA BLANCA, AJO;Av. Los Amigos;$10 a $15 dolares
8/6/2023;1.1;TOMATES, CHOCLO;Av. Los Amigos;$5 a $10 dolares
9/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$20 a $25 dolares
10/6/2023;1.1;TOMATES, BROCOLI;Av. Los Amigos;$5 a $10 dolares
11/6/2023;1.1;CEBOLLA;Av. Los Amigos;$5 a $10 dolares
5/6/2023;2.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Av. America;$30 a $35 dolares
6/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. America;$25 a $30 dolares
7/6/2023;2.2;PAPAS, TOMATES, CHOCLO, CEBOLLA, AJO;Av. America;$35 a $40 dolares
8/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. America;$25 a $30 dolares
9/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. America;$30 a $35 dolares
10/6/2023;2.2;CHOCLO;Av. America;$30 a $35 dolares
11/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. America;$25 a $30 dolares
5/6/2023;3.1;CHOCLO, ZANAHORIA, CEBOLLA, AJO;Sucre;$5 a $10 dolares
6/6/2023;3.1;PAPAS, TOMATES, ZANAHORIA;Sucre;$5 a $10 dolares
7/6/2023;3.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI;Sucre;$5 a $10 dolares
8/6/2023;3.1;PAPAS, TOMATES, ZANAHORIA;Sucre;$5 a $10 dolares
9/6/2023;3.1;CHOCLO, CEBOLLA BLANCA, AJO;Sucre;$5 a $10 dolares
10/6/2023;3.1;LECHUGA, TOMATES, CHOCLO;Sucre;$10 a $15 dolares
11/6/2023;3.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA;Sucre;$10 a $15 dolares
5/6/2023;4.3;PAPAS, TOMATES, CHOCLO, CEBOLLA;Av. Ricaurte;$10 a $15 dolares
6/6/2023;4.3;PAPAS, TOMATES, CEBOLLA;Av. Ricaurte;$5 a $10 dolares
7/6/2023;4.3;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, AJO;Av. Ricaurte;$20 a $25 dolares
8/6/2023;4.3;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Ricaurte;$15 a $20 dolares
9/6/2023;4.3;TOMATES, CEBOLLA;Av. Ricaurte;$5 a $10 dolares
10/6/2023;4.3;PAPAS, ZANAHORIA, BROCOLI, CEBOLLA;Av. Ricaurte;$5 a $10 dolares
11/6/2023;4.3;PAPAS, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Ricaurte;$5 a $10 dolares
5/6/2023;5.1;LECHUGA, TOMATES, CHOCLO, BROCOLI, CEBOLLA;Av. Los Amigos;$5 a $10 dolares
6/6/2023;5.1;PAPAS, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$10 a $15 dolares
7/6/2023;5.1;LECHUGA, PAPAS, TOMATES;Av. Los Amigos;$5 a $10 dolares
8/6/2023;5.1;TOMATES, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$10 a $15 dolares
9/6/2023;5.1;LECHUGA, PAPAS, TOMATES, CEBOLLA, CEBOLLA BLANCA;Av. Los Amigos;$10 a $15 dolares
10/6/2023;5.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA;Av. Los Amigos;$15 a $20 dolares
11/6/2023;5.1;LECHUGA, PAPAS, TOMATES, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$15 a $20 dolares
5/6/2023;6.2;TOMATES, ZANAHORIA, CEBOLLA;Av. Alajuela;$5 a $10 dolares
6/6/2023;6.2;LECHUGA, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Alajuela;$10 a $15 dolares
7/6/2023;6.2;LECHUGA, PAPAS, TOMATES, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Alajuela;$10 a $15 dolares
8/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CEBOLLA BLANCA;Av. Alajuela;$5 a $10 dolares
9/6/2023;6.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA;Av. Alajuela;$10 a $15 dolares
10/6/2023;6.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Alajuela;$10 a $15 dolares
11/6/2023;6.2;CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA;Av. Alajuela;$5 a $10 dolares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$10 a $15 dolares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$20 a $25 dolares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$10 a $15 dolares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$10 a $15 dolares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$20 a $25 dolares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$5 a $10 dolares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$5 a $10 dolares
5/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, BROCOLI;Joaquin Ramirez;$10 a $15 dolares
6/6/2023;1.1;PAPAS, CHOCLO;Joaquin Ramirez;$5 a $10 dolares
7/6/2023;1.1;PAPAS, TOMATES;Joaquin Ramirez;$5 a $10 dolares
8/6/2023;1.1;TOMATES, CHOCLO, BROCOLI;Joaquin Ramirez;$10 a $15 dolares
9/6/2023;1.1;TOMATES, CHOCLO;Joaquin Ramirez;$5 a $10 dolares
10/6/2023;1.1;PAPAS, CHOCLO;Joaquin Ramirez;$5 a $10 dolares
11/6/2023;1.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA;Joaquin Ramirez;$20 a $25 dolares
5/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Rocafuerte;$35 a $40 dolares
6/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA;Av. Rocafuerte;$35 a $40 dolares
7/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Rocafuerte;$35 a $40 dolares
8/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Rocafuerte;Mas de $40 dolares
9/6/2023;2.2;LECHUGA, CHOCLO, BROCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Rocafuerte;$25 a $30 dolares
10/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte;$20 a $25 dolares
11/6/2023;2.2;LECHUGA, TOMATES, ZANAHORIA, BROCOLI, CEBOLLA, AJO;Av. Rocafuerte;$35 a $40 dolares
